,cbsa_fips,cbsa_name,percent_sewered,percent_sewered_lower,percent_sewered_upper
0,12060,"Atlanta-Sandy Springs-Roswell, GA",87.85682972877147,87.31979842855168,88.49564526903976
1,12580,"Baltimore-Columbia-Towson, MD",85.375821711426,84.50545424041249,86.11464368168846
2,13820,"Birmingham-Hoover, AL",69.2430849540678,67.93395644428611,70.28869976794938
3,14460,"Boston-Cambridge-Newton, MA-NH",84.57174955033955,83.94501889362981,85.23846981858375
4,16980,"Chicago-Naperville-Elgin, IL-IN-WI",94.49514716470176,94.03141717047805,94.96883760408042
5,17140,"Cincinnati, OH-KY-IN",88.33085536333186,87.67217518255826,88.9938544618805
6,17460,"Cleveland-Elyria, OH",92.83847249359995,92.34367318639023,93.24119920513135
7,19100,"Dallas-Fort Worth-Arlington, TX",94.9430584753702,94.62493734764962,95.38323158247029
8,19740,"Denver-Aurora-Lakewood, CO",94.992226141874,94.60881481852122,95.32138906785546
9,19820,"Detroit-Warren-Dearborn, MI",92.24763488442275,91.77294136765148,92.73631160035573
10,26420,"Houston-The Woodlands-Sugar Land, TX",95.45186939086312,95.0219789972667,95.88809625977083
11,28140,"Kansas City, MO-KS",92.34847889119773,91.82640468298472,92.86572063454267
12,29820,"Las Vegas-Henderson-Paradise, NV",98.44293873413231,98.19544764075384,98.71024218082654
13,31080,"Los Angeles-Long Beach-Anaheim, CA",99.44838613204307,99.3073655616258,99.57891173063203
14,32820,"Memphis, TN-MS-AR",91.35564537100467,90.87235081900407,91.74758611448092
15,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",97.98348082029574,97.72886356497227,98.28360122237004
16,33340,"Milwaukee-Waukesha-West Allis, WI",91.29990543221219,90.90906083109915,91.73978778479277
17,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",88.42230049970509,87.95038607742674,88.92610667229657
18,35380,"New Orleans-Metairie, LA",93.73064144573547,93.27367330380036,94.11289108997511
19,35620,"New York-Newark-Jersey City, NY-NJ-PA",92.97185673828032,92.46766771562696,93.5120662584015
20,36420,"Oklahoma City, OK",86.6181563668752,85.96605894705107,87.29617267676464
21,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",93.0662092695844,92.56170286638981,93.6899621823624
22,38060,"Phoenix-Mesa-Scottsdale, AZ",96.53045872666252,96.12514718520484,96.95752682166159
23,38300,"Pittsburgh, PA",89.28259091216525,88.48513519493943,90.02959381088358
24,38900,"Portland-Vancouver-Hillsboro, OR-WA",90.08632476811034,89.49833594300058,90.58141064526967
25,39580,"Raleigh, NC",79.66477766805625,79.05196836379538,80.24318028104105
26,40060,"Richmond, VA",80.69675713813812,80.05267966208325,81.30796168329748
27,40140,"Riverside-San Bernardino-Ontario, CA",94.11088835497894,93.57324320887209,94.53099999517288
28,40380,"Rochester, NY",83.00898240552569,82.25617467143368,83.7911557203119
29,41700,"San Antonio-New Braunfels, TX",88.48007144164467,87.87553297869717,88.97711981478247
30,41860,"San Francisco-Oakland-Hayward, CA",99.07863829075471,98.8578468473039,99.26390112925836
31,41940,"San Jose-Sunnyvale-Santa Clara, CA",97.39089180185819,97.11827897328136,97.70297224847967
32,42660,"Seattle-Tacoma-Bellevue, WA",89.43341493025169,88.68272395976614,90.1045526389124
33,45300,"Tampa-St. Petersburg-Clearwater, FL",88.93036899307555,88.34470946543844,89.52712491980263
34,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",92.04799012220373,91.56758985367215,92.58674246089097
35,99998,All other metropolitan areas,85.47816280846627,85.0621289623312,85.88434280655633
36,99999,Not in a metropolitan area,60.129690202007474,59.00806424889151,61.38088654682518
